Portfolio Selection,,,,,,,,,,,,,,
,,,,,,,Data Collected?,,,,,,,
Country,Company,Nominal (units),Market Value (£’000),% of Net Assets,Bloomberg ticker,,YES,,,,,,,
China,Full Truck Alliance (ADR),73149,631,3.9,(YMM US EQUITY),,,,,,,,,
Japan,Subaru,10100,145,1.59,JP3399750003,,,,,,,,,Full Truck Alliance (ADR)
Japan,TechnoPro,11400,172,1.72,JP3545240008,,,,,,,,,NVIDIA CORP
Switzerland,Avolta,13996,448,3.03,CH0023405456,,,,,,,,,MICROSOFT CORP
United Kingdom,4imprint,7323,356,2.59,GB0006640972,,,,,,,,,AMAZON COM INC
United Kingdom,Clarivate,67526,274,3.2,,,,,,,,,,APPLE INC
United Kingdom,easyJet,100467,563,3.57,,,,,,,,,,ALPHABET INC CLASS C
United States,US Foods,14361,773,4.57,,,,,,,,,,META PLATFORMS INC CLASS A
United States,Verra Mobility,37396,722,4.33,,,,,,,,,,SPDR GOLD SHARES
,NVIDIA CORP,"2,708,853.00","481,823,683.11",3.81,Nvd,,YES,,,,,,,JPMORGAN CHASE & CO
,MICROSOFT CORP,"891,596.00","475,666,466.00",3.97,MSFT,,YES,,,,,,,BROADCOM INC
,AMAZON COM INC,"1,499,968.00","351,157,508.48",3.02,,,YES,,,,,,,TAIWAN SEMICONDUCTOR MANUFACTURING
,APPLE INC,"1,367,982.00","283,952,023.74",3.61,,,YES,,,,,,,CITIGROUP INC
,ALPHABET INC CLASS C,"1,418,862.00","273,641,725.32",2.55,,,YES,,,,,,,BANK OF AMERICA CORP
,META PLATFORMS INC CLASS A,"322,394.00","249,352,415.36",3.4,,,YES,,,,,,,COSTCO WHOLESALE CORP
,SPDR GOLD SHARES,"806,889.00","244,455,091.44",2.37,,,YES,,,,,,,CAPITAL ONE FINANCIAL CORP
,CASH COLLATERAL USD XBAML,"199,581,000.00","199,581,000.00",2.1,,,,,,,,,,WALMART INC
,JPMORGAN CHASE & CO,"624,218.00","184,918,340.32",2.02,,,YES,,,,,,,WELLS FARGO
,BROADCOM INC,"622,521.00","182,834,417.70",2.28,,,YES,,,,,,,SHELL PLC
,ELI LILLY,"230,085.00","170,279,005.95",1.93,,,,,,,,,,UMBS 30YR TBA(REG A)
,TAIWAN SEMICONDUCTOR MANUFACTURING,"3,743,000.00","145,468,799.72",1.78,,,YES,,,,,,,
,CITIGROUP INC,"1,451,040.00","135,962,448.00",1.72,,,YES,,,,,,,
,BANK OF AMERICA CORP,"2,724,900.00","128,806,023.00",1.68,,,YES,,,,,,,
,COSTCO WHOLESALE CORP,"135,538.00","127,356,926.32",1.67,,,YES,,,,,,,
,CAPITAL ONE FINANCIAL CORP,"589,759.00","126,798,185.00",1.66,,,YES,,,,,,,
,WALMART INC,"1,261,204.00","123,572,767.92",1.65,,,YES,,,,,,,
,TRANSDIGM GROUP INC,"76,221.00","122,598,429.66",1.64,,,,,,,,,,
,ORACLE CORP,"480,422.00","121,916,690.94",1.64,,,,,,,,,,
,WELLS FARGO,"1,463,603.00","118,010,309.89",1.61,,,YES,,,,,,,
,UMBS 30YR TBA(REG A),"126,286,000.00","112,986,526.67",1.58,,,YES,,,,,,,
,UNICREDIT,"1,504,610.00","111,299,411.89",1.57,,,,,,,,,,
,IRELAND (GOVERNMENT) RegS,"95,043,000.00","108,224,787.68",1.55,,,,,,,,,,
,PROGRESSIVE CORP,"431,109.00","104,345,622.36",1.53,,,,,,,,,,
,BAE SYSTEMS PLC,"4,301,285.00","102,685,583.30",1.52,,,,,,,,,,
,CASH COLLATERAL USD MLPFT,"102,328,000.00","102,328,000.00",1.52,,,,,,,,,,
,BOSTON SCIENTIFIC CORP,"969,146.00","101,682,798.32",1.51,,,,,,,,,,
,BOEING,"452,255.00","100,328,249.20",1.51,,,,,,,,,,
,TRANE TECHNOLOGIES PLC,"221,200.00","96,903,296.00",1.48,,,,,,,,,,
,DATABRICKS SERIES F PREF EQ Prvt,"822,138.00","94,455,434.82",1.47,,,,,,,,,,
,VERTIV HOLDINGS CLASS A,"645,450.00","93,977,520.00",1.47,,,,,,,,,,
,ASML HOLDING NV,"132,793.00","93,183,982.68",1.46,,,,,,,,,,
,GPRE SEC NOTES 144A,"93,392,220.00","93,028,757.95",1.46,,,,,,,,,,
,SHELL PLC,"2,548,403.00","91,863,817.72",1.45,,,YES,,,,,,,
,SALESFORCE INC,"350,675.00","90,589,872.75",1.45,,,,,,,,,,
,INTESA SANPAOLO,"14,506,275.00","87,913,716.58",1.43,,,,,,,,,,
,NATIONAL GRID PLC,"6,208,182.00","87,085,335.08",1.43,,,,,,,,,,
